knr2017,kommune,aar,utmarea,tamrein,villrein,antrein,LANDKAT,ALTREG,reg,Malekg,Femalekg,Chkg,Metmale,Metfemale,Metch,SumVillrein,Villsommer,Villaar,Maleperw,Femaleperw,Chperw,Beitedager,Maleandelw,Femaleandw,Chandelw,Maleandxmet,Femandmet,Chandmet,Maleandxbdg,Feandxbdg,Chandxbdg,sumvillrein,TOTBAR
438,Alvdal,1949,892.71,0,18.40244566,18.40244566,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,18.40,23.00305708,19.9359828,25,50,25,365,4.9839957,9.9679914,4.9839957,157.6077826,222.9015388,86.59384906,57526.84065,81359.06167,31606.75491,170492.6572,190.9832501
439,Folldal,1949,1231.51,0,607.7180182,607.7180182,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,607.72,759.6475227,658.3611864,25,50,25,365,164.5902966,329.1805932,164.5902966,5204.80218,7361.047761,2859.654815,1899752.796,2686782.433,1043774.007,5630309.236,4571.874557
441,Os,1949,977.23,418.9959123,12.85074811,431.8466605,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,12.85,16.06343514,13.92164379,25,50,25,365,3.480410947,6.960821895,3.480410947,110.0602579,155.6560243,60.46999203,40171.99412,56814.44888,22071.54709,119057.9901,121.8321072
501,Lillehammer,1949,413.89,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
502,Gjøvik,1949,559.75,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
511,Dovre,1949,1317.5,0,1721.917872,1721.917872,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,1721.92,2152.39734,1865.411028,25,50,25,365,466.352757,932.705514,466.352757,14747.36905,20856.90948,8102.59131,5382789.704,7612771.961,2957445.828,15953007.49,12108.54459
512,Lesja,1949,2133.37,679.6447764,1779.441341,2459.086118,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,1779.44,2224.301677,1927.72812,25,50,25,365,481.93203,963.86406,481.93203,15240.02892,21553.6685,8373.271563,5562610.556,7867089.001,3056244.12,16485943.68,7727.65328
513,Skjåk,1949,1954.55,622.6766561,0,622.6766561,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
514,Lom,1949,1848.3,2100,0,2100,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
515,Vågå,1949,1239.69,731,0,731,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
516,Nord-Fron,1949,1050.36,0,353.6002119,353.6002119,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,353.60,442.0002648,383.0668962,25,50,25,365,95.76672405,191.5334481,95.76672405,3028.40972,4283.019377,1663.887721,1105369.548,1563302.073,607319.0182,3275990.639,3118.92174
517,Sel,1949,856.34,0,288.2840221,288.2840221,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,288.28,360.3550276,312.3076906,25,50,25,365,78.07692265,156.1538453,78.07692265,2469.009083,3491.870229,1356.53834,901188.3151,1274532.634,495136.4942,2670857.443,3118.92174
519,Sør-Fron,1949,666.75,0,0,0,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
520,Ringebu,1949,1174.17,0,19.28602754,19.28602754,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,19.29,24.10753442,20.8931965,25,50,25,365,5.223299125,10.44659825,5.223299125,165.1752214,233.6040163,90.75159837,60288.95579,85265.46595,33124.3334,178678.7552,152.1745192
521,Øyer,1949,585.42,0,9.61566574,9.61566574,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,9.62,12.01958217,10.41697122,25,50,25,365,2.604242805,5.208485609,2.604242805,82.35338842,116.4707523,45.24711134,30058.98677,42511.82459,16515.19564,89086.007,152.1745192
522,Gausdal,1949,1083.44,0,0,0,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
528,Østre Toten,1949,373.62,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
529,Vestre Toten,1949,172.1,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
532,Jevnaker,1949,179.16,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
533,Lunner,1949,245.36,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
534,Gran,1949,582.39,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
536,Søndre Land,1949,635.76,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
538,Nordre Land,1949,886.56,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
540,Sør-Aurdal,1949,1049.82,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
541,Etnedal,1949,429.58,0,0,0,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
542,Nord-Aurdal,1949,819.44,242.8396161,0,242.8396161,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
543,Vestre Slidre,1949,390.64,115.7654833,0,115.7654833,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
544,Øystre Slidre,1949,853.96,715.8688909,0,715.8688909,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
545,Vang,1949,1293.26,1467.386457,0,1467.386457,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
602,Drammen,1949,119.92,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
604,Kongsberg,1949,718.35,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
605,Ringerike,1949,1352.75,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
612,Hole,1949,111.5,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
615,Flå,1949,663.79,196.7130098,0,196.7130098,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
616,Nes,1949,761.3,225.6099284,0,225.6099284,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
617,Gol,1949,495.24,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
618,Hemsedal,1949,695.15,206.0064912,113.6952806,319.7017718,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,113.70,142.1191008,123.1698873,25,50,25,365,30.79247183,61.58494367,30.79247183,973.7434578,1377.145923,535.0001924,355416.3621,502658.2617,195275.0702,1053349.694,1515.284031
